timestamp,output_mw,temperature,humidity,cloud_cover,wind_speed,region_code
2024-01-01 00:00:00+00:00,10119.85,24.0,68.82,74.39,5.17,SOUTH_TN_TNEB
2024-01-01 00:15:00+00:00,10142.2,22.75,70.91,57.36,3.77,SOUTH_TN_TNEB
2024-01-01 00:30:00+00:00,9871.56,24.37,71.9,54.68,4.14,SOUTH_TN_TNEB
2024-01-01 00:45:00+00:00,9810.69,23.99,71.62,43.99,3.17,SOUTH_TN_TNEB
2024-01-01 01:00:00+00:00,9544.49,22.65,71.91,51.96,4.58,SOUTH_TN_TNEB
2024-01-01 01:15:00+00:00,9486.78,24.88,71.5,73.95,4.89,SOUTH_TN_TNEB
2024-01-01 01:30:00+00:00,8943.76,22.33,66.41,54.52,4.0,SOUTH_TN_TNEB
2024-01-01 01:45:00+00:00,9017.44,23.09,67.67,45.05,5.29,SOUTH_TN_TNEB
2024-01-01 02:00:00+00:00,8653.01,23.16,69.73,56.59,3.99,SOUTH_TN_TNEB
2024-01-01 02:15:00+00:00,8011.91,21.35,68.43,50.11,4.98,SOUTH_TN_TNEB
2024-01-01 02:30:00+00:00,8173.06,22.4,70.45,54.69,3.33,SOUTH_TN_TNEB
2024-01-01 02:45:00+00:00,8104.88,23.66,66.33,45.6,3.38,SOUTH_TN_TNEB
2024-01-01 03:00:00+00:00,8000.0,22.44,68.92,48.24,4.66,SOUTH_TN_TNEB
2024-01-01 03:15:00+00:00,8000.0,22.46,63.49,62.47,2.34,SOUTH_TN_TNEB
2024-01-01 03:30:00+00:00,8000.0,22.26,68.55,43.77,4.08,SOUTH_TN_TNEB
2024-01-01 03:45:00+00:00,8000.0,22.53,74.24,38.85,4.45,SOUTH_TN_TNEB
2024-01-01 04:00:00+00:00,8000.0,22.14,72.62,34.82,5.17,SOUTH_TN_TNEB
2024-01-01 04:15:00+00:00,8000.0,23.77,66.86,66.11,4.8,SOUTH_TN_TNEB
2024-01-01 04:30:00+00:00,8000.0,24.22,71.69,50.72,6.13,SOUTH_TN_TNEB
2024-01-01 04:45:00+00:00,8000.0,23.6,63.51,46.27,4.06,SOUTH_TN_TNEB
2024-01-01 05:00:00+00:00,8000.0,23.01,69.02,59.34,3.9,SOUTH_TN_TNEB
2024-01-01 05:15:00+00:00,8000.0,24.74,71.63,54.16,3.93,SOUTH_TN_TNEB
2024-01-01 05:30:00+00:00,8000.0,24.32,69.11,54.78,3.52,SOUTH_TN_TNEB
2024-01-01 05:45:00+00:00,8000.0,23.04,72.37,75.38,4.03,SOUTH_TN_TNEB
2024-01-01 06:00:00+00:00,8000.0,21.31,74.12,51.82,3.95,SOUTH_TN_TNEB
2024-01-01 06:15:00+00:00,8000.0,21.62,76.53,45.13,6.11,SOUTH_TN_TNEB
2024-01-01 06:30:00+00:00,8000.0,22.47,67.83,49.58,4.54,SOUTH_TN_TNEB
2024-01-01 06:45:00+00:00,8000.0,21.44,69.34,58.68,4.9,SOUTH_TN_TNEB
2024-01-01 07:00:00+00:00,8000.0,24.99,70.61,53.67,4.84,SOUTH_TN_TNEB
2024-01-01 07:15:00+00:00,8000.0,23.13,76.61,47.88,5.36,SOUTH_TN_TNEB
2024-01-01 07:30:00+00:00,8000.0,24.52,69.51,36.63,5.62,SOUTH_TN_TNEB
2024-01-01 07:45:00+00:00,8000.0,22.06,68.29,56.82,5.38,SOUTH_TN_TNEB
2024-01-01 08:00:00+00:00,8000.0,21.07,68.9,52.06,4.99,SOUTH_TN_TNEB
2024-01-01 08:15:00+00:00,8000.0,23.12,70.08,47.35,4.69,SOUTH_TN_TNEB
2024-01-01 08:30:00+00:00,8000.0,22.77,66.62,44.82,4.76,SOUTH_TN_TNEB
2024-01-01 08:45:00+00:00,8000.0,22.78,70.73,60.29,4.56,SOUTH_TN_TNEB
2024-01-01 09:00:00+00:00,8000.0,21.22,71.72,49.85,2.57,SOUTH_TN_TNEB
2024-01-01 09:15:00+00:00,8000.0,22.95,69.5,62.0,5.42,SOUTH_TN_TNEB
2024-01-01 09:30:00+00:00,8000.0,23.18,68.27,66.1,4.77,SOUTH_TN_TNEB
2024-01-01 09:45:00+00:00,8000.0,22.79,71.69,47.75,3.6,SOUTH_TN_TNEB
2024-01-01 10:00:00+00:00,8000.0,22.82,70.33,49.76,4.77,SOUTH_TN_TNEB
2024-01-01 10:15:00+00:00,8000.0,22.76,72.51,47.04,5.53,SOUTH_TN_TNEB
2024-01-01 10:30:00+00:00,8000.0,22.47,68.29,65.91,4.69,SOUTH_TN_TNEB
2024-01-01 10:45:00+00:00,8000.0,21.71,71.35,53.87,5.77,SOUTH_TN_TNEB
2024-01-01 11:00:00+00:00,8000.0,21.71,71.3,60.62,5.48,SOUTH_TN_TNEB
2024-01-01 11:15:00+00:00,8000.0,21.33,70.89,47.02,2.51,SOUTH_TN_TNEB
